"","MonthYear","Precip_mm","Tmax_C","Tmin_C","Snow_mm"
"1","2005-01",66.294,-2.15053763429032,-15.9139784948387,629.92
"2","2005-02",60.452,2.69841269853571,-14.3849206351071,370.84
"3","2005-03",91.44,2.84946236580645,-11.6308243724516,731.52
"4","2005-04",109.474,15.0370370366,-2.074074074,0
"5","2005-05",75.692,16.379928315129,2.84946236564516,0
"6","2005-06",145.288,26.5925925926667,12.3518518515,0
"7","2005-07",85.598,28.3154121870968,13.3870967739677,0
"8","2005-08",119.888,27.3476702512903,12.0250896059032,0
"9","2005-09",81.28,24.2962962963333,7.40740740716667,0
"10","2005-10",350.012,14.5161290331613,3.56630824380645,12.7
"11","2005-11",146.05,9.2777777783,-4.9444444444,124.46
"12","2005-12",91.948,0.770609319032258,-12.4372759859032,414.02
"13","2006-01",104.902,3.31541218625806,-11.2724014338065,401.32
"14","2006-02",43.942,0.793650793857143,-12.9166666671786,248.92
"15","2006-03",35.306,5.10752688132258,-9.08602150516129,15.24
"16","2006-04",72.39,14.8148148155,-3.0185185185,12.7
"17","2006-05",167.894,18.3870967743226,4.89247311848387,0
"18","2006-06",211.836,23.8333333333333,11.5370370376,0
"19","2006-07",202.692,28.58422939,12.7419354845806,0
"20","2006-08",109.22,24.3369175632258,11.1290322578387,0
"21","2006-09",70.104,20.1340996175862,7.1666666675,0
"22","2006-10",162.306,13.548387097129,1.0035842293871,0
"23","2006-11",109.982,10.6111111116667,-0.481481481466667,0
"24","2006-12",74.676,5.11111111123333,-5.39426523306452,167.64
"25","2007-01",72.39,-0.148148148,-11.2777777775667,104.14
"26","2007-02",45.212,-3.55158730178571,-16.2103174594286,502.92
"27","2007-03",77.978,4.44444444432258,-11.1827956995484,431.8
"28","2007-04",172.212,9.63601532565517,-2.54789272013793,482.6
"29","2007-05",100.076,20.0925925927333,2.9629629631,0
"30","2007-06",78.994,23.4674329506897,9.865900383,0
"31","2007-07",168.402,25.1666666663333,11.9259259260667,0
"32","2007-08",64.262,26.2407407406667,10.6989247314194,0
"33","2007-09",67.818,22.814814815,6.96296296326667,0
"34","2007-10",136.906,17.4629629625667,4.19354838696774,0
"35","2007-11",96.52,6.45593869782759,-4.57407407413333,71.12
"36","2007-12",100.838,-0.0537634408709677,-11.2724014344839,871.22
"37","2008-01",47.752,0.129629629633333,-12.9211469535806,381
"38","2008-02",168.402,-2.49999981049759e-10,-11.9047619049643,772.16
"39","2008-03",100.33,3.94444444436667,-9.5161290323871,185.42
"40","2008-04",81.534,14.8275862074138,-1.53703703703333,7.62
"41","2008-05",10.922,18.1182795702258,1.79211469522581,0
"42","2008-06",115.062,23.8888888896552,11.0370370374333,0
"43","2008-07",126.238,26.5232974919355,13.6738351254839,0
"44","2008-08",91.948,24.12962963,11.1648745531613,0
"45","2008-09",147.066,21.6475095786207,8.33333333337931,0
"46","2008-10",112.014,14.0000000002667,-0.304659498064516,0
"47","2008-11",67.818,7.2777777777,-3.29629629616667,7.62
"48","2008-12",146.304,2.15053763419355,-9.35483870990323,723.9
"49","2009-01",57.658,-4.08602150564516,-18.4050179212903,668.02
"50","2009-02",34.036,1.30952380975,-13.5515873021786,363.22
"51","2009-03",60.96,5.86021505406452,-8.20788530519355,215.9
"52","2009-04",62.484,13.8148148150667,-0.740740740733333,0
"53","2009-05",96.012,19.0555555557667,4.229390681,0
"54","2009-06",99.822,21.7049808427586,10.5370370374333,0
"55","2009-07",167.132,23.629629629,12.3655913983548,0
"56","2009-08",154.178,25.5913978496774,13.0286738356774,0
"57","2009-09",29.464,20.2777777776667,5.94444444443333,0
"58","2009-10",154.432,11.4074074076,0.430107526903226,0
"59","2009-11",65.024,10.5172413795517,-1.25925925926667,0
"60","2009-12",76.962,0.179211469516129,-10.4480286737097,447.04
"61","2010-01",46.228,-1.1851851854,-11.3440860217419,515.62
"62","2010-02",82.55,-0.0992063491785714,-8.11507936546429,401.32
"63","2010-03",137.414,8.31541218635484,-3.90681003580645,76.2
"64","2010-04",54.864,15.2962962961667,0.500000000033333,0
"65","2010-05",49.276,21.5000000000667,5.14336917535484,0
"66","2010-06",71.12,23.9814814813333,10.2962962968,0
"67","2010-07",57.912,28.4074074073333,13.5925925925667,0
"68","2010-08",64.516,25.7037037036667,12.3333333339667,0
"69","2010-09",69.342,22.5287356324138,8.6666666669,0
"70","2010-10",242.062,13.9784946231935,1.02150537641935,0
"71","2010-11",57.912,7.52873563255172,-3.3908045977931,25.4
"72","2010-12",64.516,-1.01532567051724,-10.425925925,482.6
"73","2011-01",44.704,-2.51851851836667,-16.3799283142258,668.02
"74","2011-02",74.168,-0.476190476107143,-17.1230158731786,777.24
"75","2011-03",92.71,4.15770609316129,-7.56272401441935,215.9
"76","2011-04",91.44,11.5517241379655,-0.3333333333,96.52
"77","2011-05",86.36,19.5925925931333,6.93548387132258,0
"78","2011-06",125.73,23.574074074,9.9629629634,0
"79","2011-07",87.884,27.491039426129,13.4050179219355,0
"80","2011-08",213.36,25.7347670251613,12.4999999999,0
"81","2011-09",146.304,22.3563218393103,10.1785714281429,0
"82","2011-10",145.288,13.9074074074,3.51254480296774,279.4
